CIN,Change_Type,Field_Changed,Old_Value,New_Value,Date
L24233MH2016PLC274202,New Incorporation,N/A,N/A,N/A,2025-10-11
L24234MH2005PLC158420,New Incorporation,N/A,N/A,N/A,2025-10-11
L24239MH1944PLC007330,New Incorporation,N/A,N/A,N/A,2025-10-11
L24239MH1982PLC000047,New Incorporation,N/A,N/A,N/A,2025-10-11
L24239MH1983PLC029714,New Incorporation,N/A,N/A,N/A,2025-10-11
L24239MH1988PLC047759,New Incorporation,N/A,N/A,N/A,2025-10-11
L24239MH1990PLC057214,New Incorporation,N/A,N/A,N/A,2025-10-11
L24239MH1992PLC066718,New Incorporation,N/A,N/A,N/A,2025-10-11
L24239MH2009PLC193843,New Incorporation,N/A,N/A,N/A,2025-10-11
L24240MH1952PLC008951,New Incorporation,N/A,N/A,N/A,2025-10-11
L24241MH1988PLC097781,New Incorporation,N/A,N/A,N/A,2025-10-11
L24246MH1986PLC040817,New Incorporation,N/A,N/A,N/A,2025-10-11
L24246MH1989PLC052389,New Incorporation,N/A,N/A,N/A,2025-10-11
L24246MH2002PLC136474,New Incorporation,N/A,N/A,N/A,2025-10-11
L24249MH1984PLC032170,New Incorporation,N/A,N/A,N/A,2025-10-11
L24297MH2020PLC338592,New Incorporation,N/A,N/A,N/A,2025-10-11
L24299MH2018PLC422236,New Incorporation,N/A,N/A,N/A,2025-10-11
L25111MH1988PLC285197,New Incorporation,N/A,N/A,N/A,2025-10-11
L25193MH1993PLC070846,New Incorporation,N/A,N/A,N/A,2025-10-11
L25200MH1981PLC025731,New Incorporation,N/A,N/A,N/A,2025-10-11
L25200MH1987PLC044707,New Incorporation,N/A,N/A,N/A,2025-10-11
L25204PN1974PLC021891,New Incorporation,N/A,N/A,N/A,2025-10-11
L25206MH1995PLC092936,New Incorporation,N/A,N/A,N/A,2025-10-11
L25209MH1970PLC015401,New Incorporation,N/A,N/A,N/A,2025-10-11
L25209MH1978PLC020273,New Incorporation,N/A,N/A,N/A,2025-10-11
L25209MH1985PLC037533,New Incorporation,N/A,N/A,N/A,2025-10-11
L25209MH1986PLC039132,New Incorporation,N/A,N/A,N/A,2025-10-11
L25209MH1986PLC040119,New Incorporation,N/A,N/A,N/A,2025-10-11
L25209MH1992PLC065986,New Incorporation,N/A,N/A,N/A,2025-10-11
L25209MH2011PLC223089,New Incorporation,N/A,N/A,N/A,2025-10-11
L26100MH1988PLC316817,New Incorporation,N/A,N/A,N/A,2025-10-11
L26593MH1950PLC008163,New Incorporation,N/A,N/A,N/A,2025-10-11
L26921MH1996PLC096012,New Incorporation,N/A,N/A,N/A,2025-10-11
L26933MH1933PLC001977,New Incorporation,N/A,N/A,N/A,2025-10-11
L26940MH1998PLC114307,New Incorporation,N/A,N/A,N/A,2025-10-11
L26940MH1999PLC118229,New Incorporation,N/A,N/A,N/A,2025-10-11
L26954MH1978PLC194917,New Incorporation,N/A,N/A,N/A,2025-10-11
L26994MH2022PLC396421,New Incorporation,N/A,N/A,N/A,2025-10-11
L27100MH1972PLC015950,New Incorporation,N/A,N/A,N/A,2025-10-11
L27100MH1983PLC029053,New Incorporation,N/A,N/A,N/A,2025-10-11
L27100MH1988PLC194523,New Incorporation,N/A,N/A,N/A,2025-10-11
L27100MH1996PLC097607,New Incorporation,N/A,N/A,N/A,2025-10-11
L27100MH1999PLC121285,New Incorporation,N/A,N/A,N/A,2025-10-11
L27100MH2001PLC133926,New Incorporation,N/A,N/A,N/A,2025-10-11
L27100PN2010PLC137493,New Incorporation,N/A,N/A,N/A,2025-10-11
L27101PN1985PLC038031,New Incorporation,N/A,N/A,N/A,2025-10-11
L27101PN1991PLC063223,New Incorporation,N/A,N/A,N/A,2025-10-11
L27104MH2005PLC158380,New Incorporation,N/A,N/A,N/A,2025-10-11
L27109MH2006PLC163789,New Incorporation,N/A,N/A,N/A,2025-10-11
L27200MH1984PLC033829,New Incorporation,N/A,N/A,N/A,2025-10-11
L27205MH2007PLC166717,New Incorporation,N/A,N/A,N/A,2025-10-11
L27290MH1978PLC020644,New Incorporation,N/A,N/A,N/A,2025-10-11
L27300MH1991PLC061161,New Incorporation,N/A,N/A,N/A,2025-10-11
L27320MH1980PLC067459,New Incorporation,N/A,N/A,N/A,2025-10-11
L28100MH1907PLC000252,New Incorporation,N/A,N/A,N/A,2025-10-11
L28100MH1972PLC015817,New Incorporation,N/A,N/A,N/A,2025-10-11
L28113MH2010PLC312871,New Incorporation,N/A,N/A,N/A,2025-10-11
L28120MH1992PLC069252,New Incorporation,N/A,N/A,N/A,2025-10-11
L28120MH1993PLC073160,New Incorporation,N/A,N/A,N/A,2025-10-11
L28129MH1962PLC012289,New Incorporation,N/A,N/A,N/A,2025-10-11
L28129MH1986PLC040482,New Incorporation,N/A,N/A,N/A,2025-10-11
L28129MH1987PLC043609,New Incorporation,N/A,N/A,N/A,2025-10-11
L28900MH1958PLC011077,New Incorporation,N/A,N/A,N/A,2025-10-11
L28900MH1985PLC035822,New Incorporation,N/A,N/A,N/A,2025-10-11
L28900MH1994PLC108684,New Incorporation,N/A,N/A,N/A,2025-10-11
L28900MH2006PLC159174,New Incorporation,N/A,N/A,N/A,2025-10-11
L28910MH1971PLC015119,New Incorporation,N/A,N/A,N/A,2025-10-11
L28910MH1979PLC020959,New Incorporation,N/A,N/A,N/A,2025-10-11
L28910MH1992PLC068481,New Incorporation,N/A,N/A,N/A,2025-10-11
L28910PN1990PLC056985,New Incorporation,N/A,N/A,N/A,2025-10-11
L28920MH1919PLC000567,New Incorporation,N/A,N/A,N/A,2025-10-11
L28920MH1949PLC006870,New Incorporation,N/A,N/A,N/A,2025-10-11
L28920MH1998PLC115155,New Incorporation,N/A,N/A,N/A,2025-10-11
L28931MH2013PLC251176,New Incorporation,N/A,N/A,N/A,2025-10-11
L28932MH1972PLC015928,New Incorporation,N/A,N/A,N/A,2025-10-11
L28991MH1965PLC013188,New Incorporation,N/A,N/A,N/A,2025-10-11
L28991PN1961PLC139151,New Incorporation,N/A,N/A,N/A,2025-10-11
L28995MH2010PLC199691,New Incorporation,N/A,N/A,N/A,2025-10-11
L29100PN2009PLC133351,New Incorporation,N/A,N/A,N/A,2025-10-11
L29100PN2018PLC179327,New Incorporation,N/A,N/A,N/A,2025-10-11
L29110MH1995PLC085738,New Incorporation,N/A,N/A,N/A,2025-10-11
L29112PN1962PLC012276,New Incorporation,N/A,N/A,N/A,2025-10-11
L29120MH1964PLC012955,New Incorporation,N/A,N/A,N/A,2025-10-11
L29120MH1998PLC115526,New Incorporation,N/A,N/A,N/A,2025-10-11
L29130MH1961PLC012028,New Incorporation,N/A,N/A,N/A,2025-10-11
L29130PN1981PLC023734,New Incorporation,N/A,N/A,N/A,2025-10-11
L29150MH1946PLC004729,New Incorporation,N/A,N/A,N/A,2025-10-11
L29190MH2000PLC128375,New Incorporation,N/A,N/A,N/A,2025-10-11
L29193MH1995PLC092323,New Incorporation,N/A,N/A,N/A,2025-10-11
L29210MH1995PLC086609,New Incorporation,N/A,N/A,N/A,2025-10-11
L29211MH1964PLC012892,New Incorporation,N/A,N/A,N/A,2025-10-11
L29220MH1960PLC011773,New Incorporation,N/A,N/A,N/A,2025-10-11
L29220MH1982PLC027046,New Incorporation,N/A,N/A,N/A,2025-10-11
L29220MH1989PLC052305,New Incorporation,N/A,N/A,N/A,2025-10-11
L29220PN2011PLC141370,New Incorporation,N/A,N/A,N/A,2025-10-11
L29224MH1984PLC217693,New Incorporation,N/A,N/A,N/A,2025-10-11
L29248MH1990PLC059463,New Incorporation,N/A,N/A,N/A,2025-10-11
L29248PN1961PLC012164,New Incorporation,N/A,N/A,N/A,2025-10-11
L29261PN1955PLC009579,New Incorporation,N/A,N/A,N/A,2025-10-11
L29268MH2009PLC190522,New Incorporation,N/A,N/A,N/A,2025-10-11
L29270MH1999PLC123229,New Incorporation,N/A,N/A,N/A,2025-10-11
L29290MH1987PLC045499,New Incorporation,N/A,N/A,N/A,2025-10-11
L29295PN1993PLC073226,New Incorporation,N/A,N/A,N/A,2025-10-11
L29299PN1980PLC022787,New Incorporation,N/A,N/A,N/A,2025-10-11
L29299PN1991PLC063431,New Incorporation,N/A,N/A,N/A,2025-10-11
L29308MH2022PLC390286,New Incorporation,N/A,N/A,N/A,2025-10-11
L29309MH1994PTC179309,New Incorporation,N/A,N/A,N/A,2025-10-11
L31101MH2007PLC168823,New Incorporation,N/A,N/A,N/A,2025-10-11
L31102PN2001PLC016455,New Incorporation,N/A,N/A,N/A,2025-10-11
L31200MH1988PLC047946,New Incorporation,N/A,N/A,N/A,2025-10-11
L31300MH1964PLC013088,New Incorporation,N/A,N/A,N/A,2025-10-11
L31300MH1989PLC054356,New Incorporation,N/A,N/A,N/A,2025-10-11
L31300PN2000PLC202408,New Incorporation,N/A,N/A,N/A,2025-10-11
L31500MH1938PLC009887,New Incorporation,N/A,N/A,N/A,2025-10-11
L32000MH1983PLC030400,New Incorporation,N/A,N/A,N/A,2025-10-11
L32105MH1985PLC035516,New Incorporation,N/A,N/A,N/A,2025-10-11
L32108MH1974GOI017402,New Incorporation,N/A,N/A,N/A,2025-10-11
L32109MH1994PLC083391,New Incorporation,N/A,N/A,N/A,2025-10-11
L32109MH1995PLC091107,New Incorporation,N/A,N/A,N/A,2025-10-11
L32111MH1994PLC081857,New Incorporation,N/A,N/A,N/A,2025-10-11
L32200MH1940PLC003164,New Incorporation,N/A,N/A,N/A,2025-10-11
L32200MH1986PLC040652,New Incorporation,N/A,N/A,N/A,2025-10-11
L32200MH1994PLC083853,New Incorporation,N/A,N/A,N/A,2025-10-11
L32202MH1951PLC008443,New Incorporation,N/A,N/A,N/A,2025-10-11
L33100MH2001PLC130385,New Incorporation,N/A,N/A,N/A,2025-10-11
L33110MH1989PLC051133,New Incorporation,N/A,N/A,N/A,2025-10-11
L33115MH1984PLC121000,New Incorporation,N/A,N/A,N/A,2025-10-11
L33125MH1989PLC051910,New Incorporation,N/A,N/A,N/A,2025-10-11
L33309MH2017PLC299748,New Incorporation,N/A,N/A,N/A,2025-10-11
L34000MH1952PLC008963,New Incorporation,N/A,N/A,N/A,2025-10-11
L34100MH1927GAP001320,New Incorporation,N/A,N/A,N/A,2025-10-11
L34100MH1995PLC088525,New Incorporation,N/A,N/A,N/A,2025-10-11
L35100MH1934GOI002079,New Incorporation,N/A,N/A,N/A,2025-10-11
L35105MH1993PLC287894,New Incorporation,N/A,N/A,N/A,2025-10-11
L35106MH1986PLC284510,New Incorporation,N/A,N/A,N/A,2025-10-11
L35110MH1948PLC006472,New Incorporation,N/A,N/A,N/A,2025-10-11
L35110MH1996PLC095902,New Incorporation,N/A,N/A,N/A,2025-10-11
L36100MH2010PLC206541,New Incorporation,N/A,N/A,N/A,2025-10-11
L36759MH1985PLC036759,New Incorporation,N/A,N/A,N/A,2025-10-11
L36911MH1989PLC051577,New Incorporation,N/A,N/A,N/A,2025-10-11
